TYPEQU,Libelle_TYPEQU,Description
B210,AUTRES COMMERCES ALIMENTAIRES,"Ce sont les commerces de détail dédiés à la vente de produits laitiers, d'oeufs, de café, thé, cacao et épices, d'huiles et matières grasses comestibles, de préparations alimentaires homogénéisées et d'aliments diététiques et de produits alimentaires tels que : sucre, miel, confitures riz, farines, céréales, pâtes alimentaires, etc. produits d'épicerie, vinaigre, sel, sauces, condiments Cette catégorie est introduite dans la BPE en 2023. (source : SIRUS)"
B302,MAGASIN DE VÊTEMENTS,"Ce sont les commerces de détail d'habillement en magasin spécialisé, dont les accessoires du vêtement : gants, cravates, ceintures… (source : SIRUS)"
B303,MAGASIN D’ÉQUIPEMENTS DU FOYER,"Ce sont les commerces de détail d'appareils d'éclairage, d'ustensiles ménagers, de vaisselle, d'instruments de musique et de partitions, de systèmes de sécurité à alarmes électriques sans services d'installation ou de maintenance… (source : SIRUS)"
B304,MAGASIN DE CHAUSSURES,"Ce sont les commerces de détail de chaussures, dont les chaussures de sport. Cette catégorie ne comprend pas le commerce de détail de chaussures à usage exclusif sportif, telles que des chaussures de ski, chaussures à crampons, etc."
B306,MAGASIN DE MEUBLES,"Ce sont les commerces de détail essentiellement de mobilier domestique, de bureau ou de literie, dont les commerces de sommiers et matelas. (source : SIRUS)"
B307,MAGASIN D’ARTICLES DE SPORTS ET DE LOISIRS,"Ce sont les commerces d'articles de sports et loisirs (vêtements, équipements), dont les vêtements et chaussures à usage sportif exclusif. (source : SIRUS)"
B312,FLEURISTE-JARDINERIE-ANIMALERIE,"Ce sont les commerces de détail en magasin spécialisé de fleurs, plants, trees, arbustes, graines, engrais, animaux de compagnie et aliments pour ces animaux. (source : SIRUS)"
B313,MAGASIN D’OPTIQUE,"Ce sont les commerces de détail de lunettes correctives ou non, d'appareils photographiques et pellicules, de microscopes, de télescopes. Les commerces exclusivement dédiés à l'activité des photographes sont exclus de cette catégorie. (source : SIRUS)"
B318,COMMERCE DE JEUX ET JOUETS,"Ce sont les commerces de détail dédiés à la vente de jeux et jouets en toutes matières. Cette catégorie ne contient pas la vente de consoles de jeux vidéo, de logiciels non personnalisés dont les jeux vidéos. Cette catégorie est introduite dans la BPE en 2023. (source : SIRUS)"
B324,LIBRAIRIE,Ce sont les commerces de détail de livres de toute nature. Ne sont pas inclus les commerces de détail de livres d'occasion ou de livres anciens.
B325,PAPETERIE ET PRESSE,"Ce sont les commerces de détail de journaux et magazines et d'articles de papeterie. Sont aussi inclus les commerces de détail de fournitures de bureau telles que stylos, crayons, papier, etc. (source : SIRUS)"
C107,ÉCOLE MATERNELLE,"Ce sont les écoles disposant d'au moins une classe maternelle. Elles peuvent assurer tous les niveaux de maternelle ou une partie, y compris les annexes d'ESPE, la maternelle d'application et spécialisée. Cette catégorie inclut les classes maternelles présentes dans les écoles en regroupement pédagogique intercommunal (RPI). Elle ne contient pas les écoles contenant un niveau élémentaire. Dans les BPE précédentes, ces équipements étaient répartis entre les catégories C101 - Ecole maternelle et C102 - Ecole maternelle de RPI dispersé. Ces catégories sont supprimées en 2023. Cette catégorie est introduite dans la BPE en 2023. (source : Répertoire académique et ministériel sur les établissements du système éducatif – RAMSESE)"
C108,ÉCOLE PRIMAIRE,"Ce sont les écoles disposant d'au moins une classe maternelle et une classe élémentaire. Elles peuvent assurer tous les niveaux maternelle et élémentaires ou une partie, y compris les annexes d'ESPE, l'école d'application, spécialisée ou régionale. Cette catégorie inclut les classes maternelles et élémentaires présentes dans les écoles en regroupement pédagogique intercommunal (RPI). Dans les BPE précédentes, ces équipements étaient répartis entre les catégories C101 - Ecole maternelle et C102 - Ecole maternelle de RPI dispersé, C104 – Ecole élémentaire ou C105 – Ecole élémentaire de RPI dispersé. Ces catégories sont supprimées en 2023. Cette catégorie est introduite dans la BPE en 2023. (source : Répertoire académique et ministériel sur les établissements du système éducatif – RAMSESE)"
C109,ÉCOLE ÉLÉMENTAIRE,"Ce sont les écoles disposant d'au moins une classe élémentaire. Elles peuvent assurer tous les niveaux élémentaires ou une partie, y compris les annexes d'ESPE, l'école élémentaire d'application, spécialisée ou régionale. Cette catégorie inclut les classes maternelles et élémentaires présentes dans les écoles en regroupement pédagogique intercommunal (RPI). Elle ne contient pas les écoles contenant un niveau maternelle. Dans les BPE précédentes, ces équipements étaient répartis entre les catégories C104 – Ecole élémentaire et C105 – Ecole élémentaire de RPI dispersé. Ces catégories sont supprimées en 2023. Cette catégorie est introduite dans la BPE en 2023. (source : Répertoire académique et ministériel sur les établissements du système éducatif – RAMSESE)"
C201,COLLÈGE,"Ce sont les collèges d'enseignement général, ainsi que les collèges d'enseignement spécialisé. (source : Répertoire académique et ministériel sur les établissements du système éducatif – RAMSESE)"
C301,LYCÉE D’ENSEIGNEMENT GÉNÉRAL ET/OU TECHNOLOGIQUE,"Ce sont les lycées d'enseignement général, technologique, les lycées polyvalents et les écoles secondaires spécialisées. Ces établissements ne sont pas sous la tutelle du ministère de l'agriculture. (source : Répertoire académique et ministériel sur les établissements du système éducatif – RAMSESE)"
C302,LYCÉE D’ENSEIGNEMENT PROFESSIONNEL,"Ce sont les lycées d'enseignement professionnel, les écoles de métiers et les écoles professionnelles spécialisées. Ces établissements ne sont pas sous la tutelle du ministère de l'agriculture. (source : Répertoire académique et ministériel sur les établissements du système éducatif – RAMSESE)"
C303,LYCÉE D’ENSEIGNEMENT TECHNIQUE ET/OU PROFESSIONNEL AGRICOLE,Ce sont des établissements d'enseignement sous tutelle du ministère de l'agriculture. Cette catégorie intègre aussi les maisons familiales et rurales et les autres établissements d'enseignement agricole privé. (source : Direction générale de l'enseignement et de la recherche du ministère de l'Agriculture – DGER)
D265,MÉDECIN GÉNÉRALISTE,"Il s'agit du lieu d'exercice des médecins généralistes. Certains peuvent disposer d'une compétence complémentaire particulière (acupuncteurs, homéopathes, allergologues, gynécologues, etc.), mais elle n'est pas reconnue comme leur spécialité dans le RPPS. Ils exercent leur activité principale en libéral (en cabinet individuel ou de groupe ou en société). Le champ de la source ayant évolué, cette catégorie, créée dans la BPE 2024, remplace l'ancien type d'équipement D201 – Médecin généraliste. (source : Répertoire partagé des professionnels de santé – RPPS)"
D269,SPÉCIALISTE EN PSYCHIATRIE,"Il s'agit du lieu d'exercice des psychiatres (certains étant formés pour le public des enfants et adolescents) exerçant leur activité principale en libéral (en cabinet individuel ou de groupe ou en société). Si le praticien exerce dans plusieurs spécialités, seule la principale a été retenue. Le champ de la source ayant évolué, cette catégorie, créée dans la BPE 2024, remplace l'ancien type d'équipement D207 – Spécialiste en psychiatrie. (source : Répertoire partagé des professionnels de santé – RPPS)"
D270,SPÉCIALISTE EN OPHTALMOLOGIE,"Il s'agit du lieu d'exercice des ophtalmologistes exerçant leur activité principale en libéral (en cabinet individuel ou de groupe ou en société). Si le praticien exerce dans plusieurs spécialités, seule la principale a été retenue. Le champ de la source ayant évolué, cette catégorie, créée dans la BPE 2024, remplace l'ancien type d'équipement D208 – Spécialiste en ophtalmologie. (source : Répertoire partagé des professionnels de santé – RPPS)"
D277,CHIRURGIEN DENTISTE,"Il s'agit du lieu d'exercice libéral des chirurgiens dentistes Le champ de la source ayant évolué, cette catégorie, créée dans la BPE 2024, remplace l'ancien type d'équipement D221 – Chirurgien dentiste. (source : Répertoire partagé des professionnels de santé – RPPS)"
D307,PHARMACIE,"Une pharmacie est un établissement spécialisé dans la vente de médicaments, de produits paramédicaux, d'appareillages, de produits d'hygiène et de produits vétérinaires, tout en offrant des conseils pharmaceutiques aux patients. Ce type d'équipement inclut également les propharmacies. Depuis la BPE 2020, les données relatives aux pharmacies sont issues de Finess, remplaçant l'ancienne source Sirene. (source : Fichier national des établissements sanitaires et sociaux – FINESS)"
D403,PERSONNES ÂGÉES : SERVICES D’AIDE,"Les services d'aide pour personnes âgées fournissent un soutien et une assistance personnalisées directement au domicile des personnes âgées. Ces services incluent l'aide quotidienne et les soins médicaux adaptés, visant à faciliter la vie des personnes âgées, qu'elles soient autonomes, dépendantes ou atteintes de troubles neurodégénératifs, tout en permettant de rester dans leur environnement familial. L'équipement est localisé au siège du service. (source : Fichier national des établissements sanitaires et sociaux – FINESS)"
D502,ÉTABLISSEMENT D’ACCUEIL DU JEUNE ENFANT,"Ce sont des structure autorisées à accueillir, de manière non permanente, des enfants de moins de 6 ans, et percevant une prestation de service CAF : crèche collective ou parentale, halte garderie, jardin d'enfants. Ce sont les équipements au 1er janvier N-1, correspondant aux établissements financés pendant l'année N-2 par la CNAF. (source : Caisse nationale des allocations familiales – CNAF)"
F101,BASSIN DE NATATION,"Ce sont les bassins de natation sportive et/ou ludique, ou de réception de toboggan, accessibles à tout public.
(source : Base de données des équipements sportifs, espaces et sites de sports de nature, Data ES) "
F111,PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS,"Ce sont les plateaux et terrains de jeux extérieurs tels que les plateaux EPS, multisports, city-stades, terrains de basket-ball, de beach-volley, de beach-hand, de handball, de volley-ball, de futsal extérieur et de mini-terrains de foot, de baseball, de rugby et de beach-soccer, accessibles à tout public. (source : Base de données des équipements sportifs, espaces et sites de sports de nature, Data ES)"
F116,SALLES NON SPÉCIALISÉES,"Ce sont les salles polyvalentes, salles des fêtes, ou autres salles non spécialisées, accessibles à tout public pour l'activité physique et/ou sportive, et où s'exerce au moins une activité physique et/ou sportive. (source : Base de données des équipements sportifs, espaces et sites de sports de nature, Data ES)"
F121,"SALLES MULTISPORTS, GYMNASES","Ce sont les salles multisports ou gymnases, accessibles à tout public. (source : Base de données des équipements sportifs, espaces et sites de sports de nature, Data ES)"
F303,CINÉMA,"Dans cette catégorie, un cinéma est considéré comme un lieu de projection disposant d'une autorisation d'exercice au sens du code de l'industrie cinématographique, et présent dans la base du Centre National du Cinéma (CNC). Un cinéma est présent dans cette base lorsqu'il dispose d'une autorisation administrative et qu'il a envoyé au moins un bordereau de recettes dans l'année. Cette catégorie contient aussi les cinémas classés « art et essai » gérés par le CNC. Depuis 2019, le champ géographique des cinémas s'est enrichi avec l'intégration des données des DOM (hors Mayotte). Depuis 2020, cette base ne recense que les cinémas fixes, et ne prend pas en compte les cinémas itinérants. (source : Ministère de la Culture – DEPSD / Centre national du cinéma - CNC)"
F307,BIBLIOTHÈQUE,"Cette catégorie regroupe l'ensemble des points d'accès au livre (médiathèque, bibliothèque, point lecture, dépôt lecture…) relevant des collectivités territoriales : bibliothèques publiques de statut départemental, municipal, intercommunal et municipal classé (central ou annexe). Ces points d'accès au livre sont ouverts à tous et permettent la consultation sur place et le prêt à domicile. Cette catégorie ne comprend pas les bibliothèques nationales sous tutelle directe du ministère de la Culture (ex. la Bibliothèque nationale de France, la Bibliothèque publique d'information…). Ce type d'équipement a été introduit dans la BPE in 2019. (source : Ministère de la Culture – DEPSD)"
